,Type,Mag,Place,Time
0,earthquake,2.4,"17 km SE of Ackerly, Texas",1601152788020
1,earthquake,2.99,"87km ESE of Maneadero, B.C., MX",1601147573490
2,earthquake,2.07,"15km SSE of Primo Tapia, B.C., MX",1601085758960
3,earthquake,3.1,"56 km S of Whites City, New Mexico",1601050250095
4,earthquake,2.9,"56 km S of Whites City, New Mexico",1601050163468
5,earthquake,1.24,"22km NW of Ocotillo, CA",1601050011650
6,earthquake,2.9,"57 km S of Whites City, New Mexico",1601019963592
7,earthquake,3.4,"58 km S of Whites City, New Mexico",1600989253822
8,earthquake,4.6,"73 km ENE of Mulegé, Mexico",1600988802138
9,earthquake,5.3,"64 km ENE of Mulegé, Mexico",1600988490369
10,earthquake,2.9,"54 km S of Whites City, New Mexico",1600985999605
11,earthquake,2.6,"51 km W of Mentone, Texas",1600967413248
12,earthquake,4.2,"42 km S of El Coyul, Mexico",1600937210931
13,earthquake,4.4,"35 km SSW of La Gloria, Mexico",1600919721238
14,earthquake,1.09,"26km ENE of Pine Valley, CA",1600917159220
15,earthquake,2.82,"84km ESE of Maneadero, B.C., MX",1600901392300
16,earthquake,0.79,"26km SSW of Ocotillo Wells, CA",1600900066820
17,earthquake,0.98,"27km SSW of Ocotillo Wells, CA",1600900041020
18,earthquake,0.68,"27km ENE of Pine Valley, CA",1600897027960
19,earthquake,4.6,"68 km SSW of Acajutla, El Salvador",1600893772732
20,earthquake,1.74,"27km SSW of Ocotillo Wells, CA",1600886500280
21,earthquake,1.02,"27km ENE of Pine Valley, CA",1600886324930
22,earthquake,1.6,"17km E of Ocotillo, CA",1600859889580
23,earthquake,4.0,"85 km SSW of Nueva Concepción, Guatemala",1600854580070
24,earthquake,2.5,"15 km NW of Midland, Texas",1600841079927
25,earthquake,4.8,"34 km SSW of Ocós, Guatemala",1600815391099
26,earthquake,0.98,"23km SW of Ocotillo Wells, CA",1600797230570
27,earthquake,2.9,"53 km ENE of San Vicente, Mexico",1600773651828
28,earthquake,0.86,"22km WNW of Ocotillo, CA",1600767813990
29,earthquake,2.7,"49 km NW of Toyah, Texas",1600757420918
30,quarry blast,1.41,"5km NE of Rancho San Diego, CA",1600714818780
31,earthquake,0.34,"8km NNW of Ocotillo, CA",1600703760040
32,earthquake,0.67,"25km SSW of Ocotillo Wells, CA",1600686504020
33,earthquake,4.9,Revilla Gigedo Islands region,1600678801567
34,earthquake,4.4,"97 km SW of Altata, Mexico",1600662953049
35,earthquake,4.5,Revilla Gigedo Islands region,1600662130893
36,earthquake,1.52,"17km WNW of Progreso, B.C., MX",1600634609280
37,earthquake,3.6,"57 km ENE of San Vicente, Mexico",1600623062389
38,earthquake,1.51,"0km NE of El Centro, CA",1600615709220
39,earthquake,1.39,"1km E of El Centro, CA",1600610366930
40,earthquake,1.23,"2km ESE of El Centro, CA",1600610226040
41,earthquake,1.76,"32km WSW of Encinitas, CA",1600608522520
42,earthquake,1.11,"26km SSW of Ocotillo Wells, CA",1600602644410
43,earthquake,1.34,"1km SE of El Centro, CA",1600599848950
44,earthquake,1.49,"1km NNE of El Centro, CA",1600596371340
45,earthquake,1.59,"1km ESE of El Centro, CA",1600596365900
46,earthquake,0.79,"26km SSW of Ocotillo Wells, CA",1600586780220
47,earthquake,0.21,"26km SSW of Ocotillo Wells, CA",1600586772180
48,earthquake,1.67,"18km WNW of Progreso, B.C., MX",1600580546630
49,earthquake,2.08,"11km W of Delta, B.C., MX",1600574366970
50,earthquake,2.39,"88km ESE of Maneadero, B.C., MX",1600571119170
51,earthquake,3.2,"11 km W of Santa Tecla, El Salvador",1600554187478
52,earthquake,4.4,"36 km SW of Puerto El Triunfo, El Salvador",1600522325759
53,earthquake,4.4,"11 km SW of Mazatán, Mexico",1600495384162
54,earthquake,1.07,"4km WSW of Imperial, CA",1600493901970
55,earthquake,1.24,"15km ESE of Ocotillo, CA",1600484140130
56,earthquake,2.4,"6 km SE of Gardendale, Texas",1600476658600
57,earthquake,2.5,"53 km ENE of San Vicente, Mexico",1600476061068
58,earthquake,2.3,"4 km SE of Gardendale, Texas",1600473845847
59,earthquake,3.5,"50 km W of Mentone, Texas",1600465707469
60,earthquake,2.4,"12 km NNW of Midland, Texas",1600446067602
61,earthquake,1.59,"2km SSE of Brawley, CA",1600438739500
62,earthquake,0.66,"23km SW of Ocotillo Wells, CA",1600428285590
63,earthquake,1.6,"31km W of La Jolla, CA",1600417492080
64,experimental explosion,2.0,"4 km ESE of Lindsay, Texas",1600411499684
65,earthquake,0.97,"26km SSW of Ocotillo Wells, CA",1600372555380
66,earthquake,0.26,"23km SW of Ocotillo Wells, CA",1600365741560
67,earthquake,4.2,"96 km SW of Cabeza de Toro, Mexico",1600330642347
68,earthquake,3.0,"11 km NNW of Midland, Texas",1600314562586
69,earthquake,5.2,"7 km SW of Belisario Domínguez, Mexico",1600305239399
70,quarry blast,0.84,"7km NNW of La Mesa, CA",1600286486760
71,earthquake,2.03,"91km SSW of Alberto Oviedo Mota, B.C., MX",1600261302360
72,earthquake,1.42,"27km ENE of Primo Tapia, B.C., MX",1600242699310
73,quarry blast,1.37,"6km ESE of Bonita, CA",1600203303170
74,earthquake,1.6,"1km NE of Brawley, CA",1600203143320
75,earthquake,0.84,"27km ENE of Pine Valley, CA",1600194142380
76,earthquake,4.3,"30 km SSW of San José del Progreso, Mexico",1600188549703
77,earthquake,1.61,"62km E of Maneadero, B.C., MX",1600174816180
78,earthquake,2.98,"40km W of El Sauzal, B.C., MX",1600167012440
79,earthquake,1.33,"8km SW of Progreso, B.C., MX",1600165759050
80,earthquake,1.43,"7km SW of Progreso, B.C., MX",1600158898030
81,earthquake,0.98,"24km SW of Ocotillo Wells, CA",1600154214410
82,earthquake,0.91,"24km SW of Ocotillo Wells, CA",1600149245510
83,earthquake,1.61,"27km ENE of Pine Valley, CA",1600139354690
84,earthquake,3.1,"50 km S of Whites City, New Mexico",1600138335048
85,earthquake,0.63,"23km NW of Ocotillo, CA",1600136089170
86,earthquake,1.49,"8km WNW of Holtville, CA",1600129238010
87,earthquake,2.73,"35km E of Maneadero, B.C., MX",1600124589130
88,earthquake,2.8,"50 km S of Whites City, New Mexico",1600123248419
89,earthquake,1.84,"49km WSW of Rosarito, B.C., MX",1600116123440
90,earthquake,1.57,"9km ESE of Imperial, CA",1600099607940
91,earthquake,1.58,"9km ESE of Imperial, CA",1600099577880
92,earthquake,1.1,"8km E of Imperial, CA",1600099574410
93,earthquake,1.56,"8km ENE of El Centro, CA",1600099539300
94,earthquake,1.74,"8km E of Imperial, CA",1600099268690
95,earthquake,4.6,"6 km ESE of Patulul, Guatemala",1600093768426
96,earthquake,3.2,"19 km ESE of Lindsay, Texas",1600092882357
97,earthquake,2.6,"51 km W of Mentone, Texas",1600092391911
98,earthquake,4.0,"4 km WNW of La Venta, Mexico",1600064941402
99,earthquake,2.5,"50 km W of Mentone, Texas",1600063513153
100,earthquake,0.82,"25km NNE of Ocotillo, CA",1600056589670
101,earthquake,0.88,"25km WSW of Westmorland, CA",1600055950600
102,earthquake,2.22,"23km NW of Ocotillo, CA",1600034151210
103,earthquake,0.97,"22km NW of Ocotillo, CA",1600033951050
104,earthquake,0.83,"11km WSW of Progreso, B.C., MX",1600000335010
105,earthquake,1.54,"42km ENE of Ensenada, B.C., MX",1599994609090
106,earthquake,3.7,"1 km SSE of San Pedro Cacahuatepec, Mexico",1599990849191
107,earthquake,0.59,"25km SW of Ocotillo Wells, CA",1599985233210
108,earthquake,1.8,"11 km SSE of Gardendale, Texas",1599975590355
109,earthquake,0.48,"26km SW of Ocotillo Wells, CA",1599972902080
110,earthquake,1.86,"27km SSW of Ocotillo Wells, CA",1599935652240
111,earthquake,1.87,"24km SW of Ocotillo Wells, CA",1599918017610
112,earthquake,1.35,"5km SSE of Brawley, CA",1599897150460
113,earthquake,1.4,"33km W of La Jolla, CA",1599882689330
114,earthquake,2.47,"7km SW of Alberto Oviedo Mota, B.C., MX",1599835667890
115,earthquake,1.18,"16km WNW of Imperial, CA",1599781573760
116,earthquake,4.4,"10 km E of Reforma, Mexico",1599742062393
117,earthquake,0.57,"23km NW of Ocotillo, CA",1599721966940
118,earthquake,1.03,"26km SSW of Ocotillo Wells, CA",1599713470190
119,earthquake,3.1,"57 km S of Whites City, New Mexico",1599708565594
120,earthquake,0.63,"16km WSW of Westmorland, CA",1599692031150
121,earthquake,2.3,"90km ESE of Maneadero, B.C., MX",1599684311610
122,quarry blast,0.8,"7km NNW of La Mesa, CA",1599681754710
123,earthquake,2.4,"17 km NE of Hermleigh, Texas",1599668749700
124,earthquake,4.5,"6 km WNW of Santa Bárbara, Guatemala",1599652776864
125,earthquake,0.77,"23km NW of Ocotillo, CA",1599643842300
126,earthquake,4.4,"17 km SSE of Crucecita, Mexico",1599643002822
127,earthquake,2.33,"90km SSW of Alberto Oviedo Mota, B.C., MX",1599616064740
128,earthquake,1.79,"39km WSW of Carlsbad, CA",1599586602610
129,earthquake,1.45,"9km WNW of Holtville, CA",1599546060840
130,earthquake,1.5,"3km SSW of Heber, CA",1599543229410
131,earthquake,4.2,"89 km N of Colonia Emiliano Zapata, Mexico",1599529200116
132,earthquake,1.28,"21km E of Ocotillo, CA",1599521256500
133,earthquake,2.7,"59 km S of Whites City, New Mexico",1599497343814
134,earthquake,2.7,"48 km NW of Toyah, Texas",1599441539524
135,earthquake,3.0,"49 km NW of Toyah, Texas",1599441360035
136,earthquake,2.7,"54 km S of Whites City, New Mexico",1599426828719
137,earthquake,2.16,"71km WSW of Alberto Oviedo Mota, B.C., MX",1599405396120
138,earthquake,2.8,"55 km S of Whites City, New Mexico",1599393852121
139,earthquake,1.93,"32km NE of Ensenada, B.C., MX",1599380878980
140,earthquake,1.13,"24km SW of Ocotillo Wells, CA",1599379806650
141,earthquake,1.01,"23km NW of Ocotillo, CA",1599347737870
142,earthquake,2.8,"47 km W of Mentone, Texas",1599315193200
143,earthquake,2.8,"13 km WSW of Falls City, Texas",1599295729559
144,earthquake,2.6,"12 km SW of Falls City, Texas",1599274208952
145,earthquake,2.6,"8 km WSW of Falls City, Texas",1599270481252
146,earthquake,2.7,"51 km NW of Toyah, Texas",1599252131364
147,earthquake,2.9,"60 km S of Whites City, New Mexico",1599226018136
148,earthquake,2.76,"90km ESE of Maneadero, B.C., MX",1599188313370
149,earthquake,1.33,"23km NW of Ocotillo, CA",1599166946370
150,earthquake,1.8,"4 km WNW of Jay, Florida",1599157074795
151,earthquake,1.51,"8km SW of Progreso, B.C., MX",1599154643560
152,earthquake,2.64,"90km ESE of Maneadero, B.C., MX",1599154584140
153,earthquake,2.5,"56 km S of Whites City, New Mexico",1599149118251
154,earthquake,3.8,"1 km W of Pollard, Alabama",1599145673153
155,earthquake,1.25,"23km NW of Ocotillo, CA",1599141992190
156,earthquake,2.06,"7km W of Progreso, B.C., MX",1599140807770
157,earthquake,4.2,"147 km SW of Emiliano Zapata, Mexico",1599137191635
158,earthquake,0.55,"12km WSW of El Centro, CA",1599131784500
159,earthquake,0.8,"22km NW of Ocotillo, CA",1599131077010
160,earthquake,2.79,"88km ESE of Maneadero, B.C., MX",1599128258000
161,earthquake,1.64,"23km NW of Ocotillo, CA",1599127849470
162,earthquake,3.0,"48 km W of Mentone, Texas",1599105147111
163,earthquake,3.4,"20 km E of La Paz, Mexico",1599101122910
164,earthquake,2.8,"47 km W of Mentone, Texas",1599055998582
165,earthquake,1.59,"1km NW of El Centro, CA",1599025263590
166,earthquake,2.5,"47 km W of Mentone, Texas",1599023915195
167,earthquake,3.1,"45 km W of Mentone, Texas",1599022369510
168,earthquake,3.3,"47 km W of Mentone, Texas",1599022306611
169,earthquake,1.27,"16km E of Ocotillo, CA",1599011478030
170,quarry blast,1.28,"4km ENE of Rancho San Diego, CA",1598986836650
171,earthquake,3.3,"58 km ENE of San Vicente, Mexico",1598946094388
