,url,pols&topics
0,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ada," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
1,http://vs.recapp.ch/viewer/detail/_?uid=613c6b15965e0b4391d20b5c," Postulat Emmanuel Revaz, Les Vert.e.s, Martine Tristan, PLR/FDP, Fanny Darbellay, PDCB, und Daniel Garbely, CVPO: Das Wallis muss seine Ziele in Sachen Renaturierung der Gewässer erreichen 2020.03.075 "
2,http://vs.recapp.ch/viewer/detail/_?uid=613c6b15965e0b4391d20b5d," Postulat Emmanuel Revaz, Les Vert.e.s, Martine Tristan, PLR/FDP, Fanny Darbellay, PDCB, und Daniel Garbely, CVPO: Das Wallis muss seine Ziele in Sachen Renaturierung der Gewässer erreichen 2020.03.075 "
3,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20adb," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
4,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad9," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
5,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad8," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
6,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad4," Postulat Arnaud Schaller, PLR/FDP, Aïda Lips, UDC, Nathan Bender, PDCVr, und Diego Clausen: Gezielte Massnahmen zum Schutz vor extremen Wetterereignissen, insbesondere Frost 2021.05.111 "
7,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad5," Postulat PLR/FDP, durch Arnaud Schaller: Harmonisches Miteinander von Tourismus und Landwirtschaft fördern und Problemen vorgreifen 2021.05.112 "
8,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af0," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
9,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad7," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
10,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad6," Postulat Sébastien Rey, PLR/FDP, Pierre Gualino, PDCVr, Serge Rey, UDC, und Tarcis Ançay, PS/GC: Verbesserung von Austausch und Zusammenarbeit zwischen den Akteuren in der Berufsbildung 2021.05.148 "
11,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20aef," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
12,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20add," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
13,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20adc," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
14,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae4," Postulat Serge Rey, UDC, Stève Delasoie, PLR/FDP, Alexia Héritier, PDCVr, und Patricia Constantin, PS/GC: Hilfe für Lehrbetriebe 2021.05.150 "
15,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae5," Postulat Serge Rey, UDC, Stève Delasoie, PLR/FDP, Alexia Héritier, PDCVr, und Patricia Constantin, PS/GC: Hilfe für Lehrbetriebe 2021.05.150 "
16,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae3," Postulat Serge Rey, UDC, Stève Delasoie, PLR/FDP, Alexia Héritier, PDCVr, und Patricia Constantin, PS/GC: Hilfe für Lehrbetriebe 2021.05.150 "
17,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae2," Postulat Serge Rey, UDC, Stève Delasoie, PLR/FDP, Alexia Héritier, PDCVr, und Patricia Constantin, PS/GC: Hilfe für Lehrbetriebe 2021.05.150 "
18,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ade," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
19,http://vs.recapp.ch/viewer/detail/_?uid=613c6b15965e0b4391d20b5a," Postulat Emmanuel Revaz, Les Vert.e.s, Grégory Logean, UDC, Joachim Rausis, PDCB, und Dominic Eggel, CVPO: Effiziente Waldplanung im Wallis 2019.12.486 "
20,http://vs.recapp.ch/viewer/detail/_?uid=613c6b15965e0b4391d20b5b," Postulat Emmanuel Revaz, Les Vert.e.s, Martine Tristan, PLR/FDP, Fanny Darbellay, PDCB, und Daniel Garbely, CVPO: Das Wallis muss seine Ziele in Sachen Renaturierung der Gewässer erreichen 2020.03.075 "
21,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20adf," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
22,http://vs.recapp.ch/viewer/detail/_?uid=613c6b15965e0b4391d20b59," Postulat Emmanuel Revaz, Les Vert.e.s, Grégory Logean, UDC, Joachim Rausis, PDCB, und Dominic Eggel, CVPO: Effiziente Waldplanung im Wallis 2019.12.486 "
23,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae1," Postulat Serge Rey, UDC, Stève Delasoie, PLR/FDP, Alexia Héritier, PDCVr, und Patricia Constantin, PS/GC: Hilfe für Lehrbetriebe 2021.05.150 "
24,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae0," Postulat Serge Rey, UDC, Stève Delasoie, PLR/FDP, Alexia Héritier, PDCVr, und Patricia Constantin, PS/GC: Hilfe für Lehrbetriebe 2021.05.150 "
25,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af4," Dringliche Interpellation Aurélie Pont, PS/GC, und Anne-Laure Secco, PS/GC: Humanitäre Aufenthaltsbewilligungen für afghanische Staatsangehörige im Wallis  2021.09.307 "
26,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20aee," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
27,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad3," Interpellation Benoît Barras, AdG/LA und Margaux Dubuis, AdG/LA: Neues Kollegium in Sitten: und jetzt? 2021.02.074 "
28,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af9," Dringliche Interpellation PS/GC, durch Florian Chappot und Maxime Collombin: Welche Rolle kann der Kanton bei der Abwehr von Hackerangriffen spielen?  2021.09.322 "
29,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20aed," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
30,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af3," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
31,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20aeb," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
32,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af1," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
33,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af2," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
34,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20aec," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
35,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae8," Dringliches Postulat SVPO, durch Marco Schnydrig, Patrik Zimmermann, Christian Gasser und Martin Giachino: ""Korrekten"" Wolf abschiessen 2021.09.272 "
36,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af6," Dringliche Interpellation PDCVr, durch Nathan Bender: Wie sieht es mit dem Schutz unserer öffentlichen Daten aus? 2021.09.261 "
37,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af5," Dringliche Interpellation Aurélie Pont, PS/GC, und Anne-Laure Secco, PS/GC: Humanitäre Aufenthaltsbewilligungen für afghanische Staatsangehörige im Wallis  2021.09.307 "
38,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae7," Dringliches Postulat SVPO, durch Marco Schnydrig, Patrik Zimmermann, Christian Gasser und Martin Giachino: ""Korrekten"" Wolf abschiessen 2021.09.272 "
39,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af7," Dringliche Interpellation PDCVr, durch Nathan Bender: Wie sieht es mit dem Schutz unserer öffentlichen Daten aus? 2021.09.261 "
40,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ae9," Dringliches Postulat SVPO, durch Marco Schnydrig, Patrik Zimmermann, Christian Gasser und Martin Giachino: ""Korrekten"" Wolf abschiessen 2021.09.272 "
41,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20aea," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
42,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af8," Dringliche Interpellation PS/GC, durch Florian Chappot und Maxime Collombin: Welche Rolle kann der Kanton bei der Abwehr von Hackerangriffen spielen?  2021.09.322 "
